"Welcome to the spreadsheet! Names of items need to be verified and sources still need to be included. Grey is for numbers that do not correspond to items. Teal is for items that need property data, comment to add since i'm tired of fixing the conditional formatting. Thanks for contributing. Gorgeous Simple Elegant Lively Mature Cute Sexy Pure Warm Cool",,,,,,,,,,,,,,,,
Rare,Item,Name,,,,,,,,,,,Tags,Tag 2,Sources,Set
3,69,Winter Coat,,A,,A,,S,,A,A,,Winter,,"Mystery, Fantasy",
4,70,Delicious Pastry,S,,,S,,S,S,,,S,Maiden,Apron,Store,
3,71,Gentle Waiter-Vest,,S,S,,S,,A,,A,,Unisex,Office,Recipe,
3,72,Polite Waiter-Vest,,A,S,,A,,S,,S,,Unisex,Office,Customize,
3,73,Humorous Waiter-Vest,,A,S,,A,,A,,A,,Unisex,Office,Customize,
3,74,Obedient Waiter-Vest,,S,S,,A,,S,,A,,Unisex,Office,Customize,
4,75,Lunar December,S,,,S,,S,,S,A,,Winter,Modern China,Recipe,
3,76,Gentle Doctor,,A,A,,A,,,S,A,,Paramedics,,Recipe,
4,77,Glorious Gear,S,,A,,A,,S,,,S,European,Unisex,Contest Store,
5,78,Star Prophecy,SS,,SS,,,SS,SS,,,SS,Paramedics,,"Mystery, Fantasy",
,79,,,,,,,,,,,,,,,
3,80,Chiffon Coat,,S,S,,C,,A,,,S,Homewear,,Store,
,81,,,,,,,,,,,,,,,
5,82,Her Majesty,S,,S,,SS,,,B,S,,,,Store,
4,83,Countess' Shawl,S,,S,,,B,,B,SS,,Europe,,"Store, Mystery, Fantasy",
2,84,Gray Scale,,S,,B,,A,,A,A,,Sports,,Store,
,85,,,,,,,,,,,,,,,
3,86,Green Plaid,,A,,S,B,,,S,,S,,,Store,
3,87,Denim Jacket,,S,,A,,S,C,,,S,Unisex,Denim,"Store, Mystery, Fantasy",
3,88,Black Jacket,,A,S,,A,,,S,A,,Office,,"Mystery, Fantasy",
3,89,White Plaid Jacket,,A,S,,S,,,A,A,,Office,,Customize,
,90,,,,,,,,,,,,,,,
4,91,Down Vest,,S,,A,,S,,S,S,,Winter,,"Mystery, Fantasy",
,92,,,,,,,,,,,,,,,
,93,,,,,,,,,,,,,,,
2,94,Shirt-Style Coat,,A,A,,A,,,A,A,,,,Store,
,95,,,,,,,,,,,,,,,
3,96,Scarf Cardigan,,S,,S,B,,A,,,S,,,"Mystery, Fantasy",
3,97,Blossoming Flowers,,A,,A,,A,,A,A,,Dyrad,,"Store, Mystery, Fantasy",
3,98,Meow-Wee,B,,B,,SS,,B,,SS,,,,Store,
3,99,Soda Beverage,,A,,A,,S,,S,A,,Sports,,Store,
2,100,Boundless Snow,,A,B,,,A,,S,A,,Winter,,"Store, Mystery",
3,101,Blue-dyed Jacket,S,,S,,B,,,S,,B,,,Store,
3,102,Common Coat,,A,A,,S,,,S,A,,Office,,"Stage (4-2,m), (9-6,m), (12-3,m) (13-9,m)",
,103,,,,,,,,,,,,,,,
2,104,Grey Plaid Coat,,A,,C,,A,,A,S,,Sports,,Mystery,
3,105,Postcard Box,,C,S,,A,,,S,S,,Britain,,Store,
3,106,Emperor's Woman,,S,,A,A,,A,,S,,Rock,,"Mystery, Fantasy",
3,107,Little Secretary,,S,A,,,S,,A,A,,Sun Care,,"Store, Mystery, Fantasy",
,108,,,,,,,,,,,,,,,
4,109,Gray Plaid Coat,,S,S,,,A,,A,S,,Britain,,"Store, Mystery, Fantasy",
,110,,,,,,,,,,,,,,,
3,111,Sweater Vest,,S,,B,,A,,S,S,,,,"Mystery, Fantasy",
,112,,,,,,,,,,,,,,,
4,113,Lady's Cape,,B,S,,A,,,S,SS,,Dryad,,"Mystery, Fantasy",
3,114,Plain Beige,,S,A,,A,,,S,A,,Sun Care,,Recipe,
,115,,,,,,,,,,,,,,,
4,116,Silent Rose,,A,,S,,A,A,,SS,,Winter,,"Stage (7-7,m)",
3,117,Social Practice,,S,,S,,A,,S,C,,Denim,,"Mystery, Fantasy",
3,118,Composite Jacket,,S,S,,B,,,S,A,,Floral,,"Store, Mystery, Fantasy",
,119,,,,,,,,,,,,,,,
,120,,,,,,,,,,,,,,,
3,121,Cloth Robe,,A,S,,B,,,A,S,,Floral,,"Mystery, Fantasy",
,122,,,,,,,,,,,,,,,
3,123,Slim Cotton Coat,,S,,A,B,,,S,S,,,,"Mystery, Fantasy",
3,124,Cardigan,,S,A,,,C,,A,,S,,,"Mystery, Fantasy",
4,125,Snow Mountain Gift,,B,S,,S,,S,,,S,,,Store,
,126,,,,,,,,,,,,,,,
3,127,Course of Life,,B,S,,A,,,S,,A,,,"Mystery, Fantasy",
3,128,Stranger,A,,S,,,A,A,,,A,,,"Mystery, Fantasy",
3,129,Station of Departure,,A,A,,,A,,S,S,,,,"Mystery, Fantasy",
3,130,Belfry,S,,S,,B,,B,,S,,,,Fantasy,
3,131,Calla,,S,B,,,A,,S,,S,,,"Mystery, Fantasy",
3,132,Ode to Starry Night,,A,,A,,A,,A,,A,,,Store,
5,133,Plumage of Snowland,S,,S,,S,,S,,,S,,,Store,
4,134,Irreplacable,,S,,A,S,,,A,S,,,,"Mystery, Fantasy",
3,135,Hard Rock,S,,,S,B,,A,,S,,Rock,,Recipe,Apple - Rock Singer
,136,,,,,,,,,,,,,,,
3,137,Suit Jacket,A,,S,,A,,A,,S,,,,"Store, Mystery, Fantasy",
2,138,Mink Shawl,,C,S,,S,,B,,S,,,,Store,
4,139,Blind Love,,S,S,,,A,,S,A,,,,"Mystery, Fantasy",
4,140,Lively Song,S,,,SS,,A,A,,,S,,,Exchanged in Mystery,
,141,Strawberry Chocolate,,,,,,,,,,,,,"VIP, Fantasy",
3,142,Beach Volleyball,,A,,S,,A,S,,,A,,,"Mystery, Fantasy",
3,143,Pink Snowflake,,S,,A,,A,,S,B,,,,"Mystery, Fantasy",
4,144,Sewing Class-Purple,,S,,A,,S,,A,S,,,,"Store, Mystery, Fantasy",
,145,,,,,,,,,,,,,,,
3,146,Mini Oven,,S,,S,,S,,A,A,,Pet,Sun Care,"Store, Mystery, Fantasy",
4,147,Foggy Street,S,,,S,B,,,S,,S,Sun Care,Lolita,"Mystery, Fantasy",
3,148,Slim-fit Suit,S,,,S,,B,S,,,B,Office,,Store,
4,149,Special Operations,S,,,SS,A,,S,,,S,Rock,Swordsman,Recipe,
4,150,Shade of Ink,A,,S,,,S,,S,A,,Modern China,,"Mystery, Fantasy, Misty",
3,151,White Bat,,A,S,,,C,,S,S,,Winter,,Recipe,
3,152,Rainy Days,,A,S,,,B,,S,S,,Britain,,"Store, Mystery, Fantasy",
3,153,Hard Notebook,,S,,S,S,,,B,,S,,,Store,
3,154,Sewing Class-Blue,,S,,A,,A,,S,A,,"Britain, Denim",Denim,"Mystery, Fantasy",
3,155,Leaf Raincoat,,S,,S,,A,,A,,A,Rainy Day,,"Stage (3-2,m), Association Store",
,156,,,,,,,,,,,,,,,
,157,,,,,,,,,,,,,,,
,158,,,,,,,,,,,,,,,
3,159,Thousand Dust,,B,S,,S,,,B,,S,Chinese Classical,,,
,160,,,,,,,,,,,,,,,
,161,,,,,,,,,,,,,,,
,162,,,,,,,,,,,,,,,
3,163,Orchid Mist,,B,S,,A,,,S,A,,Classic China,,Store,
,164,,,,,,,,,,,,,,,
,165,,,,,,,,,,,,,,,
,166,,,,,,,,,,,,,,,
,167,,,,,,,,,,,,,,,
3,168,Design Director,,B,S,,S,,B,,S,,Unisex,,"Stage (4-1,m)",
3,169,Leopard Cardigan - Cold,S,,S,,A,,A,,S,,,,Store,
3,170,Leopard Cardigan-Warm,B,,S,,S,,S,,A,,,,Customize,
3,171,Glowworm Dust,,S,B,,,A,,S,,S,,,Store,
,172,,,,,,,,,,,,,,,
,173,,,,,,,,,,,,,,,
,174,,,,,,,,,,,,,,,
,175,,,,,,,,,,,,,,,
4,176,Colorful Butterfly-Flower,A,,A,,,A,,A,SS,,Kimono,,Customize,
4,177,Colorful Butterfly-Orchid,S,,S,,S,,,B,S,,Kimono,,Customize,
4,178,Colorful Butterfly-Green,A,,A,,A,,,SS,SS,,Kimono,,Customize,
4,179,Trimmed T-Shirt-Blue,,S,,S,B,,B,,,S,Rock,,Customize,
3,180,Trimmed T-Shirt-Black,,A,,S,B,,S,,,A,Rock,,Customize,
3,181,Trimmed T-Shirt-Coffee,,S,,B,B,,S,,,S,Rock,,Customize,
,182,,,,,,,,,,,,,,,
,183,,,,,,,,,,,,,,,
,184,,,,,,,,,,,,,,,
,185,,,,,,,,,,,,,,,
,186,,,,,,,,,,,,,,,
,187,,,,,,,,,,,,,,,
,188,,,,,,,,,,,,,,,
,189,,,,,,,,,,,,,,,
,190,,,,,,,,,,,,,,,
,191,,,,,,,,,,,,,,,
,192,,,,,,,,,,,,,,,
,193,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,
,195,,,,,,,,,,,,,,,
,196,,,,,,,,,,,,,,,
,197,,,,,,,,,,,,,,,
,198,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,
3,200,Prosperity,,S,S,,A,,B,,C,,Modern China,Goddess,"Mystery, Fantasy, Misty",
4,201,Prosperity-Rare,S,,SS,,SS,,A,,A,,Modern China,Goddess,"Evolution, Mystery, Fantasy",
5,202,Prosperity-Epic,S,,SS,,SS,,S,,S,,Modern China,Goddess,Evolution,
4,203,Office Lady,,B,SS,,S,,,B,S,,Unisex,,Store,
3,204,Tribal Shawl,,A,,S,,B,,A,S,,,,Contest Store,
5,205,Flower Moon Cloak,,A,S,,SS,,SS,,,A,Modern China,,"Misty, Exchanged using Jade",
3,206,Duo Moon,,A,A,,,S,,S,,A,Classic China,,Misty,
3,207,Azure Garment,,B,S,,A,,,S,,A,Classic China,,Customize,
3,208,Robe of Snow,,A,B,,,S,,S,,A,Classic China,,Customize,
3,209,Bamboo Shadows,,B,S,,A,,,S,,B,Classic China,,Customize,
4,210,Flower Letters,,S,SS,,,A,,A,,A,Classic China,,Misty,
4,211,Camouflage Coat,,A,,SS,B,,SS,,,A,Military,,Recipe,
5,212,Qiuyong Moon,A,,S,,S,,,SS,,S,Classic China,,"Misty, Exchanged using Jade",
6,213,Luster Brocade,,A,SS,,S,,,SS,,A,,,Recipe,
6,214,Luster Brocade-Purple,,A,SS,,SS,,S,,,S,,,Customize,
4,215,Stripe Gentleman-Jacket,,S,SS,,A,,,A,A,,Unisex,,Recipe,
5,216,Galaxy Scarf-Epic,A,,SS,,,S,SS,,,A,,,Evolution,
5,217,Diamond Shadow-Rare,S,,SS,,A,,A,,S,,Unisex,European,Evolution,
3,218,Forest Song,,A,,S,,S,,A,,A,,,"Stage (8-2,m)",
5,219,Sheep Coat-Rare,SS,,,A,,SS,,A,A,,,,Evolution,
4,220,Carefree Youth-Yellow,,A,,SS,,A,,S,B,,,,Association Store,
4,221,Carefree Youth-Green,,A,,A,,S,,SS,A,,,,Customize,
3,222,Mist Forest,A,,S,,S,,A,,,B,,,Recipe,
4,223,Mist Forest-Rare,S,,A,,SS,,A,,,A,,,Evolution,
5,224,Mist Forest-Epic,SS,,SS,,A,,A,,,S,,,Evolution,
5,225,Dark Forest-Epic,S,,A,,SS,,SS,,,A,,,Customize,
4,226,Camellia Brocade,,S,SS,,B,,,A,,S,,,Recipe,
5,227,Camellia Satin-Rare,,SS,SS,,S,,,B,,S,,,Evolution,
,228,,,,,,,,,,,,,,,
,229,,,,,,,,,,,,,,,
3,230,Famous Lady,,S,B,,S,,,B,,A,Gothic,,,
4,231,Famous Lady-Rare,A,,SS,,SS,,,A,,A,Gothic,,,
5,232,Famous Lady-Epic,SS,,A,,SS,,,S,,A,Gothic,,,
3,233,Galaxy Scarf,A,,,S,,A,B,,,S,,,,
4,234,Galaxy Scarf-Rare,A,,,S,,A,A,,,S,,,,
,235,,,,,,,,,,,,,,,
4,236,Sheep Coat,,S,,A,,SS,,A,S,,Winter,Pet,,
,237,,,,,,,,,,,,,,,
,238,,,,,,,,,,,,,,,
4,239,Diamond Shadow,SS,,S,,S,,A,,B,,European,Unisex,Association Store,
,240,,,,,,,,,,,,,,,
,241,,,,,,,,,,,,,,,
,242,,,,,,,,,,,,,,,
4,243,Maple Leaf Coat,,A,SS,,S,,,B,A,,Winter,,,
3,244,Silk Jacket (White) jp,,S,B,,S,,A,,A,,,,jp,
3,245,Silk Jacket (Black) jp,,S,B,,S,,A,,B,,,,jp,
4,246,Lace Jacket (White) jp,,B,SS,,S,,,A,A,,,,jp,
4,247,Lace Jacket (Moon) jp,,A,S,,SS,,,A,A,,,,jp,
4,248,Lace Jacket (Peach) jp,,A,S,,SS,,,A,A,,,,jp,
4,249,Lace Jacket (Black) jp,,A,SS,,S,,,A,A,,,,jp,
,250,,,,,,,,,,,,,,,
2,251,Country Tassel,,S,,A,,B,,S,B,,,,,
3,252,Country Tassel-Rare,A,,S,,,A,,S,B,,,,,
4,253,Country Tassel-Epic,SS,,B,,,A,,SS,A,,,,,
,254,,,,,,,,,,,,,,,
,255,,,,,,,,,,,,,,,
,256,,,,,,,,,,,,,,,
,257,,,,,,,,,,,,,,,
,258,,,,,,,,,,,,,,,
,259,,,,,,,,,,,,,,,
,260,,,,,,,,,,,,,,,
,261,,,,,,,,,,,,,,,
,262,,,,,,,,,,,,,,,
,263,,,,,,,,,,,,,,,
,264,,,,,,,,,,,,,,,
5,265,Mirage Cloak,A,,S,,A,,S,,A,,,,Fantasy,Pigeon - Master Magician
5,266,Snow Shawl,SS,,S,,A,,A,,A,,,,,
,267,,,,,,,,,,,,,,,
,268,,,,,,,,,,,,,,,
4,269,Hot Summer-Red,,A,,SS,,S,,A,,A,,,,
4,270,Hot Summer-Black,,A,B,,S,,SS,,,A,,,,
4,271,Hot Summer - Pink,,A,,S,,SS,,A,,B,,,Customize,
,272,,,,,,,,,,,,,,,
,273,,,,,,,,,,,,,,,
,274,,,,,,,,,,,,,,,
,275,,,,,,,,,,,,,,,
,276,,,,,,,,,,,,,,,
,277,,,,,,,,,,,,,,,
,278,,,,,,,,,,,,,,,
4,279,Memorial Paper,A,,,A,,S,,SS,A,,Modern China,,,
3,280,Sky Blue Cape jp,,S,,B,,B,,S,A,,,,jp,
4,281,Sky Blue Mantle jp,A,,SS,,B,,,S,A,,,,jp,
5,282,Snow Fur Mantle jp,SS,,SS,,A,,,A,S,,,,jp,
,283,,,,,,,,,,,,,,,
,284,,,,,,,,,,,,,,,
,285,,,,,,,,,,,,,,,
,286,,,,,,,,,,,,,,,
,287,,,,,,,,,,,,,,,
,288,,,,,,,,,,,,,,,
,289,,,,,,,,,,,,,,,
,290,,,,,,,,,,,,,,,
,291,,,,,,,,,,,,,,,
,292,,,,,,,,,,,,,,,
,293,,,,,,,,,,,,,,,
,294,,,,,,,,,,,,,,,
,295,,,,,,,,,,,,,,,
,296,,,,,,,,,,,,,,,
5,297,Soft and Warm,A,,SS,,,A,,SS,,A,,,Connect to facebook,Festivals - Pink Wishes
3,298,Cataclysmic Starry Sky jp,S,,S,,B,,,B,,A,,,jp,
,299,,,,,,,,,,,,,,,
4,300,Fur-Collared Jacket jp,A,,SS,,A,,A,,SS,,modern china,,jp,
4,301,New Year's Recollections jp,S,,SS,,A,,A,,A,,modern china,,jp,
,302,,,,,,,,,,,,,,,
,303,,,,,,,,,,,,,,,
,304,,,,,,,,,,,,,,,
,305,,,,,,,,,,,,,,,
,306,,,,,,,,,,,,,,,
,307,,,,,,,,,,,,,,,
,308,,,,,,,,,,,,,,,
,309,,,,,,,,,,,,,,,
,310,,,,,,,,,,,,,,,
,311,,,,,,,,,,,,,,,
,312,,,,,,,,,,,,,,,
,313,,,,,,,,,,,,,,,
,314,,,,,,,,,,,,,,,
,315,,,,,,,,,,,,,,,
3,316,Heartful Vest jp,,S,,B,,A,,S,,A,,,jp event,
,317,,,,,,,,,,,,,,,
,318,,,,,,,,,,,,,,,
,319,,,,,,,,,,,,,,,
,320,,,,,,,,,,,,,,,
,321,,,,,,,,,,,,,,,
,322,,,,,,,,,,,,,,,
,323,,,,,,,,,,,,,,,
,324,,,,,,,,,,,,,,,
,325,,,,,,,,,,,,,,,
,326,,,,,,,,,,,,,,,
,327,,,,,,,,,,,,,,,
,328,,,,,,,,,,,,,,,
,329,,,,,,,,,,,,,,,
,330,,,,,,,,,,,,,,,
,331,,,,,,,,,,,,,,,
,332,,,,,,,,,,,,,,,
,333,,,,,,,,,,,,,,,
5,334,Fool's Happiness jp,SS,,SS,,S,,A,,,A,European,,jp,
5,335,Fool's Sadness jp,SS,,SS,,S,,A,,,A,European,,jp,
,336,,,,,,,,,,,,,,,
,337,,,,,,,,,,,,,,,
,338,,,,,,,,,,,,,,,
,339,,,,,,,,,,,,,,,
,340,,,,,,,,,,,,,,,
,341,,,,,,,,,,,,,,,
,342,,,,,,,,,,,,,,,
,343,,,,,,,,,,,,,,,
,344,,,,,,,,,,,,,,,
,345,,,,,,,,,,,,,,,
,346,,,,,,,,,,,,,,,
,347,,,,,,,,,,,,,,,
,348,,,,,,,,,,,,,,,
,349,,,,,,,,,,,,,,,
,350,,,,,,,,,,,,,,,
,351,,,,,,,,,,,,,,,
,352,,,,,,,,,,,,,,,
,353,Flowers Umbrella,,,,,,,,,,,,,,
,354,Underglaze,,,,,,,,,,,,,,
,355,,,,,,,,,,,,,,,
,356,,,,,,,,,,,,,,,
,357,,,,,,,,,,,,,,,
,358,,,,,,,,,,,,,,,
,359,,,,,,,,,,,,,,,
,360,,,,,,,,,,,,,,,
,361,,,,,,,,,,,,,,,
,362,,,,,,,,,,,,,,,
,363,,,,,,,,,,,,,,,
,364,,,,,,,,,,,,,,,
,365,,,,,,,,,,,,,,,
,366,,,,,,,,,,,,,,,
,367,,,,,,,,,,,,,,,
,368,,,,,,,,,,,,,,,
,369,,,,,,,,,,,,,,,
,370,,,,,,,,,,,,,,,
,371,,,,,,,,,,,,,,,
,372,,,,,,,,,,,,,,,
,373,,,,,,,,,,,,,,,
,374,,,,,,,,,,,,,,,
,375,,,,,,,,,,,,,,,
,376,,,,,,,,,,,,,,,
,377,,,,,,,,,,,,,,,
,378,,,,,,,,,,,,,,,
,379,,,,,,,,,,,,,,,
,380,,,,,,,,,,,,,,,
,381,,,,,,,,,,,,,,,
,382,,,,,,,,,,,,,,,
,383,,,,,,,,,,,,,,,
,384,,,,,,,,,,,,,,,
,385,,,,,,,,,,,,,,,
,386,,,,,,,,,,,,,,,
,387,,,,,,,,,,,,,,,
,388,,,,,,,,,,,,,,,
5,389,Devilish White Coat jp,SS,,SS,,A,,A,,A,,Paramedic,,jp,
,390,,,,,,,,,,,,,,,
,391,,,,,,,,,,,,,,,
,392,,,,,,,,,,,,,,,
,393,,,,,,,,,,,,,,,
,394,,,,,,,,,,,,,,,
,395,,,,,,,,,,,,,,,
,396,,,,,,,,,,,,,,,
,397,,,,,,,,,,,,,,,
,398,,,,,,,,,,,,,,,
,399,,,,,,,,,,,,,,,
,400,,,,,,,,,,,,,,,
,401,,,,,,,,,,,,,,,
,402,,,,,,,,,,,,,,,
,403,,,,,,,,,,,,,,,
,404,,,,,,,,,,,,,,,
,405,,,,,,,,,,,,,,,
,406,,,,,,,,,,,,,,,
,407,,,,,,,,,,,,,,,
,408,,,,,,,,,,,,,,,
,409,,,,,,,,,,,,,,,
,410,,,,,,,,,,,,,,,
,411,,,,,,,,,,,,,,,
,412,,,,,,,,,,,,,,,
,413,,,,,,,,,,,,,,,
,414,,,,,,,,,,,,,,,
,415,,,,,,,,,,,,,,,
,416,,,,,,,,,,,,,,,
3,417,Soft Leather,A,,,B,,SS,S,,S,,Harajuku,,,Apple- Raspberry Pink Rock
,418,,,,,,,,,,,,,,,
5,419,Moon's Camaderie jp,A,,SS,,SS,,,A,A,,Kimono,,jp,
5,420,Moon's Camaderie-Gold jp,S,,A,,,SS,,SS,A,,Kimono,,jp,
5,421,Moon's Camaderie-Blue jp,SS,,SS,,A,,A,,A,,Kimono,,jp,
5,422,River's Name jp,A,,SS,,SS,,A,,S,,Kimono,,jp,
,423,,,,,,,,,,,,,,,
,424,,,,,,,,,,,,,,,
,425,,,,,,,,,,,,,,,
,426,,,,,,,,,,,,,,,
4,427,Script of Destiny jp,SS,,SS,,A,,A,,A,,,,jp,
4,428,Ginkgo Forest jp,A,,SS,,A,,SS,,A,,,,jp,
,429,,,,,,,,,,,,,,,
,430,,,,,,,,,,,,,,,
,431,,,,,,,,,,,,,,,
,432,,,,,,,,,,,,,,,
,433,,,,,,,,,,,,,,,
,434,,,,,,,,,,,,,,,
,435,,,,,,,,,,,,,,,
,436,,,,,,,,,,,,,,,
,437,,,,,,,,,,,,,,,
,438,,,,,,,,,,,,,,,
,439,,,,,,,,,,,,,,,
,440,,,,,,,,,,,,,,,
,441,,,,,,,,,,,,,,,
,442,,,,,,,,,,,,,,,
,443,,,,,,,,,,,,,,,
,444,,,,,,,,,,,,,,,
,445,,,,,,,,,,,,,,,
,446,,,,,,,,,,,,,,,
,447,,,,,,,,,,,,,,,
,448,,,,,,,,,,,,,,,
,449,,,,,,,,,,,,,,,
,450,,,,,,,,,,,,,,,
,451,,,,,,,,,,,,,,,
,452,,,,,,,,,,,,,,,
5,453,Kid's Companion jp,A,,SS,,A,,,SS,,A,,,jp event,
5,454,Promised Wish jp,SS,,SS,,,A,,A,,A,,,jp event,
,455,,,,,,,,,,,,,,,
,456,,,,,,,,,,,,,,,
,457,,,,,,,,,,,,,,,
5,458,Moonshadow (Coat),SS,,A,,A,,SS,,,S,,,jp event,
,459,,,,,,,,,,,,,,,
,460,,,,,,,,,,,,,,,
,461,,,,,,,,,,,,,,,
,462,,,,,,,,,,,,,,,
,463,,,,,,,,,,,,,,,
,464,,,,,,,,,,,,,,,
,465,,,,,,,,,,,,,,,
,466,,,,,,,,,,,,,,,
5,467,When Spring Comes jp,SS,,SS,,,S,,A,,A,Wedding,Kimono,jp event,
,468,,,,,,,,,,,,,,,
4,469,Gentle Dreamy Stole jp,B,,,S,,B,S,,,A,,,jp shop,
,470,,,,,,,,,,,,,,,
,471,,,,,,,,,,,,,,,
,472,,,,,,,,,,,,,,,
